aaa

Algeria,0,0,0,0,0,0,0,0,0,0,0,0,1,9,62,31,26,35,38,90,238,39,67,179,103,299,329,366,572,398,402,403,401,358,367,430,245,289,363,434,464,436,334,355,381,403,297,346,393,433,539,390,449,457,664,518
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,5,4,1,4,3,2,5,8,3,5,14,14,17,18,40,33,37,12,10,7,29,64,12,65,58,39,45,43,23,16,22,23,15,27,18,27,31,47
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,4,12,3,4,2,4,9,10,28,18,11,10,22,14,38,41,51,58,53,43,42,63,73,72,52,71,100,120,77,121
Cameroon,0,0,0,0,0,0,0,0,0,0,0,1,7,9,14,5,2,5,8,10,12,23,8,38,25,15,24,16,38,18,26,49,36,48,102,59,81,63,75,105,136,107,92,131,155,207,199,242,220,276,260,364,669,580,504,524
Central Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,1,1,32,6,48,8,20,15,25,22,33,28,12,7,7,30,36,23,47,15,14,27,33,18,48,27,16,25,27,22,18,32,35,22,29,34,36,15,29,34
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,2,0,3,1,8,3,1,8,5,10,18,11,5,7,8,2,5,298,10,14,5,5,4,12,18,8,13,7,12,9,11,15,22,11,15,45,41,27,42

Republic of Congo,0,0,0,0,0,0,0,0,0,0,0,6,10,6,14,4,14,17,17,20,23,20,3,13,4,8,9,0,9,5,28,15,27,21,44,41,11,29,17,33,38,26,38,26,39,40,39,39,79,19,12,18,1,34,14,63
Democratic Republic of the Congo,0,0,0,0,0,3,0,0,0,0,0,0,5,1,18,12,13,5,10,40,54,178,53,109,88,54,83,102,66,74,164,130,65,66,163,122,131,105,187,330,204,200,153,108,144,286,147,149,110,209,211,245,263,279,316,400
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,3,4,7,19,10,28,13,9,6,16,9,13,23,10,8,12,10,14,19,14,24,19,18,21,38,48,18,9
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,12,18,9,28,17,7,22,10,11,13,5,6,6,12,5,6,9,6,4,0,8,9,11,6,5

Benin,0,0,0,0,0,0,0,0,0,0,0,2,3,15,8,1,1,4,10,10,18,7,4,3,5,9,10,6,22,21,28,26,31,18,55,45,45,36,36,42,59,52,32,53,79,47,43,60,99,77,73,61,83,132,143,162
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,30,67,55,37,43,52,50,32,34,47,55,40,33,42,68,45,45
Ethiopia,0,3,0,4,1,3,28,26,6,28,17,17,23,6,43,33,28,48,61,81,253,80,83,85,50,52,102,90,71,70,101,101,125,118,183,193,198,210,190,200,203,190,204,196,215,204,345,423,480,342,277,322,363,479,401,502
